lineNb,bookId,spell,spellType,sentence
12819,3,riddikulus,Charm,"'riddikulusv’ bellowed ron, and the spider’s legs vanished; it rolled over and over; lavender brown squealed and ran out of its way and it came to a halt at harry’s feet. he raised his wand, ready, but —"
12828,3,riddikulus,Charm,"the legless spider had vanished. for a second, everyone looked wildly around to see where it was. then they saw a silvery-white orb hanging in the air in front of lupin, who said, 'riddikulusv’ almost lazily."
12831,3,riddikulus,Charm,"'riddikulusv’ he shouted, and they had a split second’s view of snape in his lacy dress before neville let out a great 'ha!' of laughter, and the boggart exploded, burst into a thousand tiny wisps of smoke, and was gone."
13448,3,impervius,Charm,"he handed them to her, and as the team watched in amazement, hermione tapped them with her wand and said, 'imperviusl'"
13750,3,dissendium,Charm,"what did he have to do? he pulled out the map again and saw, to his astonishment, that a new ink figure had appeared upon it, labeled harry potter. this figure was standing exactly where the real harry was standing, about halfway down the third-floor corridor. harry watched carefully. his little ink self appeared to be tapping the witch with his minute wand. harry quickly took out his real wand and tapped the statue. nothing happened. he looked back at the map. the tiniest speech bubble had appeared next to his figure. the word inside said, ' dissendium.'"
13753,3,lumos,Charm,"he slid a considerable way down what felt like a stone slide, then landed on cold, damp earth. he stood up, looking around. it was pitch dark. he held up his wand, muttered, 'lumos' and saw that he was in a very narrow, low, earthy passageway. he raised the map, tapped it with the tip of his wand, and muttered, 'mischief managed!' the map went blank at once. he folded it carefully, tucked it inside his robes, then, heart beating fast, both excited and apprehensive, he set off."
13852,3,mobiliarbus,Charm,"somewhere above him, hermione whispered, 'mobiliarbus'"
13912,3,fidelius charm,Charm,"'worse even than that, m’dear. ...' fudge dropped his voice and proceeded in a sort of low rumble. 'not many people are aware that the potters knew you- know-who was after them. dumbledore, who was of course working tirelessly against you-know-who, had a number of useful spies. one of them tipped him off, and he alerted james and lily at once. he advised them to go into hiding. well, of course, you-know- who wasn’t an easy person to hide from. dumbledore told them that their best chance was the fidelius charm.'"
13925,3,fidelius charm,Charm,"'he did,' said fudge heavily. 'and then, barely a week after the fidelius charm had been performed — '"
14424,3,expecto patronum,Charm,'the incantation is this — ' lupin cleared his throat. 'expecto patronum).'
14425,3,expecto patronum,Charm,"'expecto patronum,' harry repeated under his breath, 'expecto patronum.'"
14427,3,expecto patronum,Charm,"'oh — yeah — ' said harry, quickly forcing his thoughts back to that first broom ride. 'expecto patrono — no, patronum — sorry — expecto patronum, expecto patronum — '"
14442,3,expecto patronum,Charm,'expecto patronurrd' harry yelled. 'expecto patronum). expecto — '
14470,3,expecto patronum,Charm,'expecto patronum).' harry yelled. 'expecto patronuml expecto pat — '
14503,3,expecto patronum,Charm,'expecto patronum ' harry bellowed. ' expecto patronum expecto patronum '
14505,3,riddikulus,Charm,"' riddikulusv’ roared lupin, springing forward."
14555,3,badgering,Transfiguration,"'no, potter, you can’t have it back yet,' professor mcgonagall told him the twelfth time this happened, before he’d even opened his mouth. 'we’ve checked for most of the usual curses, but professor flitwick believes the broom might be carrying a hurling hex. i shall tell you once we’ve finished checking it. now, please stop badgering me.'"
14555,3,hurling hex,Hex,"'no, potter, you can’t have it back yet,' professor mcgonagall told him the twelfth time this happened, before he’d even opened his mouth. 'we’ve checked for most of the usual curses, but professor flitwick believes the broom might be carrying a hurling hex. i shall tell you once we’ve finished checking it. now, please stop badgering me.'"
14732,3,lumos,Charm,"harry pointed. ron pulled out his wand and muttered, 'lumos'"
14819,3,expecto patronum,Charm,"he didn’t stop to think. plunging a hand down the neck of his robes, he whipped out his wand and roared, 'expecto patronum).'"
15058,3,dissendium,Charm,"' dissendium).' and shoved his bag into the statue, but before he could climb in himself, neville came around the corner."
15179,3,apparition,Transportation,'mr. malfoy then saw an extraordinary apparition.
15379,3,cheering charm,Charm,"'you’re late, boys!' said professor flitwick reprovingly as harry opened the classroom door. 'come along, quickly, wands out, we’re experimenting with cheering charms today, we’ve already divided into pairs — '"
15391,3,cheering charm,Charm,"'she could’ve done with a cheering charm on her too,' said ron as the class left for lunch, all grinning broadly — the cheering charms had left them with a feeling of great contentment."
15392,3,cheering charm,Charm,"hermione wasn’t at lunch either. by the time they had finished their apple pie, the after-effects of the cheering charms were wearing off, and harry and ron had started to get slightly worried."
15410,3,cheering charm,Charm,'i can’t believe i missed cheering charms! and i bet they come up in our exams; professor flitwick hinted they might!'
15436,3,cheering charm,Charm,"'this is such a waste of time,' hermione hissed. 'i could be practicing something useful. i could be catching up on cheering charms — '"
15727,3,cheering charm,Charm,"then, after a hasty lunch, it was straight back upstairs for the charms exam. hermione had been right; professor flitwick did indeed test them on cheering charms. harry slightly overdid his out of nerves and ron, who was partnering him, ended up in fits of hysterical laughter and had to be led away to a quiet room for an hour before he was ready to perform the charm himself. after dinner, the students hurried back to their common rooms, not to relax, but to start studying for care of magical creatures, potions, and astronomy."
15871,3,dissendium,Charm,"'you — you tap it and say, ‘dissendium,’ ' said harry. 'but — '"
16027,3,lumos,Charm,'lumos' he whispered.
16080,3,nox,Charm,"'nox,' they whispered together, and the lights at the end of their wands went out. only one door was open. as they crept toward it, they heard movement from behind it; a low moan, and then a deep, loud purring. they exchanged a last look, a last nod."
16095,3,expelliarmus,Charm,"' expelliarmusv’ he croaked, pointing ron’s wand at them."
16167,3,expelliarmus,Charm,' expelliarmusv’ lupin shouted.
16455,3,expelliarmus,Charm,"' expelliarmus' he yelled — except that his wasn’t the only voice that shouted. there was a blast that made the door rattle on its hinges; snape was lifted off his feet and slammed into the wall, then slid down it to the floor, a trickle of blood oozing from under his hair. he had been knocked out."
16702,3,ferula,"Conjuration, Healing spell","he hurried over to ron, bent down, tapped ron’s leg with his wand, and muttered, 'ferula.' bandages spun up ron’s leg, strapping it tightly to a splint. lupin helped him to his feet; ron put his weight gingerly on the leg and didn’t wince."
16712,3,mobilicorpus,Charm,"he muttered, 'mobilicorpus.' as though invisible strings were tied to snape’s wrists, neck, and knees, he was pulled into a standing position, head still lolling unpleasantly, like a grotesque puppet. he hung a few inches above the ground, his limp feet dangling. lupin picked up the invisibility cloak and tucked it safely into his pocket."
16783,3,expelliarmus,Charm,"' expelliarmusv’ harry yelled, pointing his own wand at pettigrew; lupin’s wand flew high into the air and out of sight. 'stay where you are!' harry shouted, running forward."
16814,3,expecto patronum,Charm,"he forced himself to think of black, and only black, and began to chant: 'expecto patronum). expecto patronum).'"
16817,3,expecto patronum,Charm,"'expecto patronum). hermione, help me! expecto patronum).'"
16824,3,expecto patronum,Charm,"'expecto patronum' harry yelled, trying to blot the screaming from his ears. 'expecto patronum.'"
16833,3,expecto patronum,Charm,'expecto — expecto patronum — '
16835,3,expecto patronum,Charm,' expecto patronum j' he gasped.
16838,3,expecto patronum,Charm,'no — no — ' harry gasped. 'he’s innocent ... expecto — expecto patronum — '
16842,3,expecto patronum,Charm,"white fog was blinding him. he had to fight ... expecto patronum ... he couldn’t see ... and in the distance, he heard the familiar screaming . . . expecto patronum . . ."
17342,3,expecto patronum,Charm,'expecto patronum ' he yelled.
17390,3,alohomora,Charm,'alohomoral'
18463,4,incendio,"Charm, Conjuration","'incendio' said mr. weasley, pointing his wand at the hole in the wall behind him."
18806,4,apparition,Transportation,"'oh yes,' said mr. weasley, tucking the tickets safely into the back pocket of his jeans. 'the department of magical transportation had to fine a couple of people the other day for apparating without a license. it’s not easy, apparition, and when it’s not done properly it can lead to nasty complications. this pair i’m talking about went and splinched themselves.'"
18813,4,apparition,Transportation,"'oh yes,' said mr. weasley matter-of-factly. 'but they got a heavy fine, and i don’t think they’ll be trying it again in a hurry. you don’t mess around with apparition. there are plenty of adult wizards who don’t bother with it. prefer brooms — slower, but safer.'"
18836,4,accio,Charm,"mrs. weasley pointed her wand at george’s pocket and said, 'acciol'"
18840,4,accio,Charm,"'acciol acciol acciol' she shouted, and toffees zoomed from all sorts of unlikely places, including the lining of george’s jacket and the turn-ups of fred’s jeans."
18853,4,apparition,Transportation,"'it’s been a massive organizational problem,' sighed mr. weasley. 'the trouble is, about a hundred thousand wizards turn up at the world cup, and of course, we just haven’t got a magical site big enough to accommodate them all. there are places muggles can’t penetrate, but imagine trying to pack a hundred thousand wizards into diagon alley or platform nine and three-quarters. so we had to find a nice deserted moor, and set up as many anti-muggle precautions as possible. the whole ministry’s been working on it for months. first, of course, we have to stagger the arrivals. people with cheaper tickets have to arrive two weeks beforehand. a limited number use muggle transport, but we can’t have too many clogging up their buses and trains — remember, wizards are coming from all over the world. some apparate, of course, but we have to set up safe points for them to appear, well away from muggles. i believe there’s a handy wood they’re using as the apparition point. for those who don’t want to apparate, or can’t, we use portkeys. they’re objects that are used to transport wizards from one spot to another at a prearranged time. you can do large groups at a time if you need to. there have been two hundred portkeys placed at page | 77 harry potter and the goblet of fire - j.k. rowling"
18896,4,apparition,Transportation,"'had to get up at two, didn’t we, ced? i tell you, i’ll be glad when he’s got his apparition test. still ... not complaining ... quidditch world cup, wouldn’t miss it for a sackful of galleons — and the tickets cost about that. mind you, looks like i got off easy. ...' amos diggory peered good-naturedly around at the three weasley boys, harry, hermione, and ginny. 'all these yours, arthur?'"
18994,4,obliviate,Charm,"'obliviate' he said sharply, pointing his wand at mr. roberts."
19383,4,sonorus,Charm,"ludo whipped out his wand, directed it at his own throat, and said 'sonorusl' and then spoke over the roar of sound that was now filling the packed stadium; his voice echoed over them, booming into every corner of the stands."
19596,4,quietus,Charm,"at last, when the irish team had left the box to perform another lap of honor on their brooms (aidan lynch on the back of connolly’s, clutching hard around his waist and still grinning in a bemused sort of way), bagman pointed his wand at his throat and muttered, 'quietus.'"
19662,4,lumos,Charm,"'what happened?' said hermione anxiously, stopping so abruptly that harry walked into her. 'ron, where are you? oh this is stupid — lumos'"
19800,4,morsmordre,,'morsmordrel '
19824,4,stupefy,Charm,"'stupefyl' roared twenty voices — there was a blinding series of flashes and harry felt the hair on his head ripple as though a powerful wind had swept the clearing. raising his head a fraction of an inch he saw jets of fiery red light flying over them from the wizards’ wands, crossing one another, bouncing off tree trunks, rebounding into the darkness —"
19900,4,rennervate,Charm,"crouch gave no sign that he had heard mr. diggory, but mr. diggory seemed to take his silence for assent. he raised his own wand, pointed it at winky, and said, 'rennervatel'"
19946,4,prior incantato,Charm,' prior incantatol' roared mr. diggory.
19948,4,deletrius,Charm,"'deletrius' mr. diggory shouted, and the smoky skull vanished in a wisp of smoke."
20541,4,reparo,Charm,"'ronl' said hermione reproachfully, and she pulled out her wand, muttered ' reparov ’ and the glass shards flew back into a single pane and back into the door."
21275,4,imperio,Curse,"moody reached into the jar, caught one of the spiders, and held it in the palm of his hand so that they could all see it. he then pointed his wand at it and muttered, 'imperio'"
21311,4,engorgio,Charm,"'the cruciatus curse,' said moody. 'needs to be a bit bigger for you to get the idea,' he said, pointing his wand at the spider. 'engorgio'"
21313,4,crucio,Curse,"moody raised his wand again, pointed it at the spider, and muttered, 'cruciov’"
21320,4,reducio,Charm,"'reducio,' moody muttered, and the spider shrank back to its proper size. he put it back into the jar."
21336,4,avada kedavra,Curse,"'avada kedavra,' hermione whispered."
21338,4,avada kedavra,Curse,"'ah,' said moody, another slight smile twisting his lopsided mouth. 'yes, the last and worst. avada kedavra ... the killing curse.'"
21341,4,avada kedavra,Curse,'avada kedavral' moody roared.
21359,4,avada kedavra,Curse,"'avada kedavra’s a curse that needs a powerful bit of magic behind it — you could all get your wands out now and point them at me and say the words, and i doubt i’d get so much as a nosebleed. but that doesn’t matter. i’m not here to teach you how to do it."
21361,4,avada kedavra,Curse,"'now ... those three curses — avada kedavra, imperius, and cruciatus — are known as the unforgivable curses. the use of any one of them on a fellow human being is enough to earn a life sentence in azkaban. that’s what you’re up against. that’s what i’ve got to teach you to fight. you need preparing. you need arming. but most of all, you need to practice constant, never-ceasing vigilance. get out your quills ... copy this down. ...'"
21403,4,avada kedavra,Curse,"'some lesson, though, eh?' said ron to harry as they set off for the great hall. 'fred and george were right, weren’t they? he really knows his stuff, moody, doesn’t he? when he did avada kedavra, the way that spider just died, just snuffed it right — '"
21608,4,imperio,Curse,"harry moved forward into the middle of the classroom, into the space that moody had cleared of desks. moody raised his wand, pointed it at harry, and said, 'imperio'"
21698,4,switching spell,Transfiguration,"'longbottom, kindly do not reveal that you can’t even perform a simple switching spell in front of anyone from durmstrang!' professor mcgonagall barked at the end of one particularly difficult lesson, during which neville had accidentally transplanted his own ears onto a cactus."
21734,4,badgering,Transfiguration,"harry shook his head and applied himself to his scrambled eggs. his and ron’s lack of enthusiasm had done nothing whatsoever to curb hermione ’s determination to pursue justice for house-elves. true, both of them had paid two sickles for a s.p.e.w. badge, but they had only done it to keep her quiet. their sickles had been wasted, however; if anything, they seemed to have made hermione more vociferous. she had been badgering harry and ron ever since, first to wear the badges, then to persuade others to do the same, and she had also taken to rattling around the gryffindor common room every evening, cornering people and shaking the collecting tin under their noses."
21836,4,imperio,Curse,"'come,' said madame maxime imperiously to her students, and the hogwarts crowd parted to allow her and her students to pass up the stone steps."
22021,4,age line,Charm,"'to ensure that no underage student yields to temptation,' said dumbledore, 'i will be drawing an age line around the goblet of fire once it has been placed in the entrance hall. nobody under the age of seventeen will be able to cross this line."
22024,4,age line,Charm,"'an age line!' fred weasley said, his eyes glinting, as they all made their way across the hall to the doors into the entrance hall. 'well, that should be fooled by an aging potion, shouldn’t it? and once your name’s in that goblet, you’re laughing — it can’t tell whether you’re seventeen or not!'"
22036,4,age line,Charm,"harry thought briefly of dumbledore ’s insistence that nobody under seventeen should submit their name, but then the wonderful picture of himself winning the triwizard tournament filled his mind again. ... he wondered how angry dumbledore would be if someone younger than seventeen did find a way to get over the age line. ..."
22142,4,age line,Charm,"madame maxime entered the hall behind her students and organized them into a line. one by one, the beauxbatons students stepped across the age line and dropped their slips of parchment into the blue- white flames. as each name entered the fire, it turned briefly red and emitted sparks."
22339,4,imperio,Curse,"'what is ze meaning of zis, dumbly-dorr?' she said imperiously."
22343,4,age line,Charm,"'we were under the impression that your age line would keep out younger contestants, dumbledore,' said karkaroff, his steely smile still in place, though his eyes were colder than ever. 'otherwise, we would, of course, have brought along a wider selection of candidates from our own schools.'"
22361,4,age line,Charm,"'he could not have crossed the age line,' said professor mcgonagall sharply. 'i am sure we are all agreed on that — '"
22506,4,age line,Charm,"forcing another butterbeer on him, stuffing crisps and peanuts into his hands. ... everyone wanted to know how he had done it, how he had tricked dumbledore’s age line and managed to get his name into the goblet. ..."
22522,4,age line,Charm,"'well ... no one else got across the age line,' said ron. 'not even fred and george. what did you use — the invisibility cloak?'"
22718,4,furnunculus,Jinx,' furnunculusv’ harry yelled.
22719,4,densaugeo,Hex,' densaugeov’ screamed malfoy.
22903,4,orchideous,Conjuration,"mr. ollivander ran his fingers along the wand, apparently checking for scratches or bumps; then he muttered, ' orchideousv’ and a bunch of flowers burst from the wand tip."
22926,4,avis,"Conjuration, Charm",avis'.'
23181,4,stupefy,Charm,"'stupefy' they shouted in unison, and the stunning spells shot into the darkness like fiery rockets, bursting in showers of stars on the dragons’ scaly hides —"
23214,4,extinguishing spell,Charm,"'just get past them, i think,' said charlie. 'we’ll be on hand if it gets nasty, extinguishing spells at the ready. they wanted nesting mothers, i don’t know why ... but i tell you this, i don’t envy the one who gets the horntail. vicious thing. its back end’s as dangerous as its front, look.'"
23352,4,switching spell,Transfiguration,"'well, there are switching spells ... but what’s the point of switching it? unless you swapped its fangs for wine-gums or something that would make it less dangerous. ... the trouble is, like that book said, not much is going to get through a dragon’s hide. ... i’d say transfigure it, but something that big, you really haven’t got a hope, i doubt even professor mcgonagall ... unless you’re supposed to put the spell on yourself? maybe to give yourself extra powers? but they’re not simple spells, i mean, we haven’t done any of those in class, i only know about them because i’ve been doing o.w.l. practice papers. ...'"
23377,4,diffindo,Charm,'diffindol'
23502,4,accio,Charm,"'well, now we know what to do next time i can’t manage a spell,' harry said, throwing a rune dictionary back to hermione, so he could try again, 'threaten me with a dragon. right ...' he raised his wand once more. 'accio dictionary !'"
23604,4,accio,Charm,'accio firebolti' he shouted.
24492,4,conjunctivitis curse,Curse,"congratulations on getting past the horntail. whoever put your name in that goblet shouldn’t be feeling too happy right now! i was going to suggest a conjunctivitis curse, as a dragon’s eyes are its weakest point — 'that’s what krum did!' hermione whispered — but your way was better, i’m impressed."
25612,4,accio,Charm,'accio parchments
25847,4,drought charm,Charm,"'i don’t reckon it can be done,' said ron’s voice flatly from the other side of the table. 'there’s nothing. nothing. closest was that thing to dry up puddles and ponds, that drought charm, but that was nowhere near powerful enough to drain the lake.'"
25901,4,lumos,Charm,"'lumos,' harry whispered fifteen minutes later as he opened the library door."
25986,4,sonorus,Charm,"bagman gave harry’s shoulder a quick squeeze and returned to the judges’ table; he pointed his wand at his throat as he had done at the world cup, said, 'sonorusl' and his voice boomed out across the dark water toward the stands."
26012,4,relashio,Jinx,"'relashio' harry shouted, except that no sound came out. ... a large bubble issued from his mouth, and his wand, instead of sending sparks at the grindylows, pelted them with what seemed to be a jet of boiling water, for where it struck them, angry red patches appeared on their green skin. harry pulled his ankle out of the grindylows grip and swam, as fast as he could, occasionally sending more jets of hot water over his shoulder at random; every now and then he felt one of the grindylows snatch at his foot again, and he kicked out, hard; finally, he felt his foot connect with a horned skull, and looking back, saw the dazed grindylow floating away, cross-eyed, while its fellows shook their fists at harry and sank back into the weed."
26163,4,bubble-head charm,Charm,"'fleur delacour, though she demonstrated excellent use of the bubble-head charm, was attacked by grindylows as she approached her goal, and failed to retrieve her hostage. we award her twenty-five points.'"
26175,4,bubble-head charm,Charm,"'cedric diggory, who also used the bubble-head charm, was first to return with his hostage, though he returned one minute outside the time limit of an hour.' enormous cheers from the hufflepuffs in the crowd; harry saw cho give cedric a glowing look. 'we therefore award him forty-seven points.'"
26221,4,reverte,Charm,"ron’s ears went red, and thereafter, he reverted to the bewitched sleep version of events."
26378,4,imperio,Curse,"then, at last, sirius slipped out of sight, and when they reached the place where he had vanished, they saw a narrow fissure in the rock. they squeezed into it and found themselves in a cool, dimly lit cave. tethered at the end of it, one end of his rope around a large rock, was buckbeak the hippogriff. half gray horse, half giant eagle, buckbeak’s fierce orange eye flashed at the sight of them. all three of them bowed low to him, and after regarding them imperiously for a moment, buckbeak bent his scaly front knees and allowed hermione to rush forward and stroke his feathery neck. harry, however, was looking at the black dog, which had just turned into his godfather."
27074,4,lumos,Charm,"'lumos,' dumbledore said, lighting his wand and holding it up."
27413,4,crucio,Curse,'crucio' said the cold voice.
27430,4,apparition,Transportation,"'of course he isn’t!' said professor trelawney, looking thoroughly excited. her great eyes loomed over harry, gazing at him. 'what was it, potter? a premonition? an apparition? what did you see?'"
27943,4,reducto,Curse,"tired of walking in on harry, hermione, and ron all over the school, professor mcgonagall had given them permission to use the empty transfiguration classroom at lunchtimes. harry had soon mastered the impediment curse, a spell to slow down and obstruct attackers; the reductor curse, which would enable him to blast solid objects out of his way; and the four-point spell, a useful discovery of hermione’s that would make his wand point due north, therefore enabling him to check whether he was going in the right direction within the maze. he was still having trouble with the shield charm, though. this was page | 673 harry potter and the goblet of fire - j.k. rowling"
28122,4,sonorus,Charm,"'good luck, harry,' hagrid whispered, and the four of them walked away in different directions, to station themselves around the maze. bagman now pointed his wand at his throat, muttered, ' sonorus,' and his magically magnified voice echoed into the stands."
28132,4,lumos,Charm,"the towering hedges cast black shadows across the path, and, whether because they were so tall and thick or because they had been enchanted, the sound of the surrounding crowd was silenced the moment they entered the maze. harry felt almost as though he were underwater again. he pulled out his wand, muttered, 'lumos,' and heard cedric do the same just behind him."
28148,4,point me,Spell,"' point me,' he whispered to his wand, holding it flat in his palm."
28158,4,expecto patronum,Charm,"getting out of the maze and celebrating with ron and hermione, raised his wand, and cried, 'expecto patronum).'"
28160,4,riddikulus,Charm,"'hang on!' he shouted, advancing in the wake of his silver patronus. 'you’re a boggart! riddikulusl'"
28164,4,reducto,Curse,'reductol' he said.
28165,4,reducto,Curse,"the spell shot straight through the mist, leaving it intact. he supposed he should have known better; the reductor curse was for solid objects. what would happen if he walked through the mist? was it worth chancing it, or should he double back?"
28194,4,stupefy,Charm,'stupefy'.'
28206,4,impedimenta,Jinx,' impedimental ' harry yelled. the spell hit the skrewt’s armor again and ricocheted off; harry staggered back a few paces and fell over. a impediment a'
28212,4,crucio,Curse,' crucio \ '
28213,4,reducto,Curse,"the air was suddenly full of cedric’s yells. horrified, harry began sprinting up his path, trying to find a way into cedric’s. when none appeared, he tried the reductor curse again. it wasn’t very effective, but it burned a small hole in the hedge through which page | 692 harry potter and the goblet of fire - j.k. rowling"
28219,4,stupefy,Charm,' stupefy]' harry yelled.
28289,4,point me,Spell,"harry broke into a run. he had a choice of paths up ahead. 'point mel' he whispered again to his wand, and it spun around and pointed him to the right- hand one. he dashed up this one and saw light ahead."
28304,4,stupefy,Charm,"'stupefy'.' harry yelled; the spell hit the spider’s gigantic, hairy black body, but for all the good it did, he might as well have thrown a stone at it; the spider jerked, scuttled around, and ran at harry instead."
28305,4,impedimenta,Jinx,' stupefy ! impedimenta ! stupefy !'
28305,4,stupefy,Charm,' stupefy ! impedimenta ! stupefy !'
28307,4,stupefy,Charm,"he was lifted into the air in its front legs; struggling madly, he tried to kick it; his leg connected with the pincers and next moment he was in excruciating pain. he could hear cedric yelling 'stupefy'.' too, but his spell had no more effect than harry’s — harry raised his wand as the spider opened its pincers once more and shouted ' expelliarmus'.'"
28307,4,expelliarmus,Charm,"he was lifted into the air in its front legs; struggling madly, he tried to kick it; his leg connected with the pincers and next moment he was in excruciating pain. he could hear cedric yelling 'stupefy'.' too, but his spell had no more effect than harry’s — harry raised his wand as the spider opened its pincers once more and shouted ' expelliarmus'.'"
28313,4,stupefy,Charm,"spider’s underbelly, as he had done with the skrewt, and shouted 'stupefyl' just as cedric yelled the same thing."
28413,4,avada kedavra,Curse,"a swishing noise and a second voice, which screeched the words to the night: 'avada kedavrav’"
28589,4,crucio,Curse,' cruciol '
28716,4,crucio,Curse,'crucio'
28734,4,expelliarmus,Charm,"at these words harry remembered, as though from a former life, the dueling club at hogwarts he had attended briefly two years ago. ... all he had learned there was the disarming spell, ' expelliarmus' ... and what use would it be to deprive voldemort of his wand, even if he could, when he was surrounded by death eaters, outnumbered by at least thirty to one? he had never learned anything that could possibly fit him for this. he knew he was facing the thing against which moody had always warned . . . the un-blockable avada kedavra curse — and voldemort was right — his mother was not here to die for him this time. ..."
