,source,target,association
61,5,83,['Order of the Phoenix']
62,5,84,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
63,5,85,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
64,5,93,['Order of the Phoenix']
65,5,98,['Order of the Phoenix']
66,5,100,['Gryffindor']
67,5,103,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
68,5,104,"['Gryffindor', 'Order of the Phoenix']"
69,5,105,"['Gryffindor', 'Order of the Phoenix']"
70,5,106,"['Gryffindor', 'Order of the Phoenix']"
71,5,107,['Gryffindor']
72,5,108,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
73,5,109,"['Gryffindor', 'Order of the Phoenix']"
74,5,110,['Gryffindor']
75,5,113,['Potter family']
76,5,114,['Gryffindor']
77,5,118,['Gryffindor']
78,5,125,['Order of the Phoenix']
79,5,132,['Gryffindor']
80,5,133,['Order of the Phoenix']
81,5,134,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
82,5,139,['Gryffindor']
83,5,142,['Order of the Phoenix']
84,5,143,['Order of the Phoenix']
85,5,145,['Order of the Phoenix']
86,5,146,"['Gryffindor', 'Order of the Phoenix']"
87,5,152,['Gryffindor']
88,5,155,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
89,5,162,['Gryffindor']
90,5,165,['Order of the Phoenix']
91,5,168,['Order of the Phoenix']
92,5,169,['Gryffindor']
93,5,172,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
94,5,173,"['Potter family', 'Gryffindor', 'Order of the Phoenix']"
95,5,175,"['Gryffindor', 'Order of the Phoenix']"
96,6,4,['Slytherin']
97,6,14,['Slytherin']
98,6,15,['Slytherin']
99,6,47,['Slytherin']
100,6,48,['Slytherin']
101,6,58,['Slytherin']
102,6,61,['Slytherin']
103,6,74,['Slytherin']
104,6,88,['Slytherin']
105,6,95,['Slytherin']
106,6,96,['Slytherin']
107,6,98,['Slytherin']
108,6,111,['Slytherin']
109,6,119,['Slytherin']
110,6,140,['Slytherin']
111,6,144,['Slytherin']
112,6,150,['Slytherin']
113,6,164,['Slytherin']
114,6,167,['Slytherin']
115,7,9,"[""Dumbledore's Army""]"
116,7,13,"['Ravenclaw', ""Dumbledore's Army""]"
117,7,16,"[""Dumbledore's Army""]"
118,7,24,"[""Dumbledore's Army""]"
119,7,36,"[""Dumbledore's Army""]"
120,7,37,"[""Dumbledore's Army""]"
121,7,41,['Ravenclaw']
122,7,46,"['Ravenclaw', ""Dumbledore's Army""]"
123,7,56,"[""Dumbledore's Army""]"
124,7,62,['Ravenclaw']
125,7,64,"[""Dumbledore's Army""]"
126,7,65,['Ravenclaw']
127,7,68,"[""Dumbledore's Army""]"
128,7,71,"[""Dumbledore's Army""]"
129,7,77,['Ravenclaw']
130,7,84,"[""Dumbledore's Army""]"
131,7,86,['Ravenclaw']
132,7,100,"[""Dumbledore's Army""]"
133,7,105,"[""Dumbledore's Army""]"
134,7,106,"[""Dumbledore's Army""]"
135,7,108,"[""Dumbledore's Army""]"
136,7,112,"[""Dumbledore's Army""]"
137,7,114,"[""Dumbledore's Army""]"
138,7,116,"[""Dumbledore's Army""]"
139,7,118,"[""Dumbledore's Army""]"
140,7,123,"['Ravenclaw', ""Dumbledore's Army""]"
141,7,124,['Ravenclaw']
142,7,131,['Ravenclaw']
143,7,134,"[""Dumbledore's Army""]"
144,7,139,"[""Dumbledore's Army""]"
145,7,143,"['Ravenclaw', ""Dumbledore's Army""]"
146,7,146,"[""Dumbledore's Army""]"
147,7,151,"['Ravenclaw', ""Dumbledore's Army""]"
148,7,152,"[""Dumbledore's Army""]"
149,7,156,['Ravenclaw']
150,7,157,['Ravenclaw']
151,7,162,"[""Dumbledore's Army""]"
152,7,166,['Ravenclaw']
153,7,169,"[""Dumbledore's Army""]"
154,7,171,['Ravenclaw']
155,7,172,"[""Dumbledore's Army""]"
156,7,175,"[""Dumbledore's Army""]"
157,9,5,['Order of the Phoenix']
158,9,7,"[""Dumbledore's Army""]"
159,9,13,"[""Dumbledore's Army""]"
160,9,16,"[""Dumbledore's Army""]"
161,9,21,['Order of the Phoenix']
162,9,24,"['Order of the Phoenix', ""Dumbledore's Army""]"
163,9,25,['Order of the Phoenix']
164,9,27,['Order of the Phoenix']
165,9,34,['Order of the Phoenix']
166,9,36,"[""Dumbledore's Army""]"
167,9,37,"[""Dumbledore's Army""]"
168,9,40,['Order of the Phoenix']
169,9,46,"[""Dumbledore's Army""]"
170,9,55,['Order of the Phoenix']
171,9,56,"['Order of the Phoenix', ""Dumbledore's Army""]"
172,9,64,"['Order of the Phoenix', ""Dumbledore's Army""]"
173,9,65,['Order of the Phoenix']
174,9,66,['Order of the Phoenix']
175,9,68,"[""Dumbledore's Army""]"
176,9,71,"[""Dumbledore's Army""]"
177,9,73,['Order of the Phoenix']
178,9,83,['Order of the Phoenix']
179,9,84,"['Order of the Phoenix', ""Dumbledore's Army""]"
180,9,85,['Order of the Phoenix']
181,9,93,['Order of the Phoenix']
182,9,98,['Order of the Phoenix']
183,9,100,"[""Dumbledore's Army""]"
184,9,103,['Order of the Phoenix']
185,9,104,['Order of the Phoenix']
186,9,105,"['Order of the Phoenix', ""Dumbledore's Army""]"
187,9,106,"['Order of the Phoenix', ""Dumbledore's Army""]"
188,9,108,"['Order of the Phoenix', ""Dumbledore's Army""]"
189,9,109,['Order of the Phoenix']
190,9,112,"[""Dumbledore's Army""]"
191,9,114,"[""Dumbledore's Army""]"
192,9,116,"[""Dumbledore's Army""]"
193,9,118,"[""Dumbledore's Army""]"
194,9,123,"[""Dumbledore's Army""]"
195,9,125,['Order of the Phoenix']
196,9,133,['Order of the Phoenix']
197,9,134,"['Order of the Phoenix', ""Dumbledore's Army""]"
198,9,139,"[""Dumbledore's Army""]"
199,9,142,['Order of the Phoenix']
200,9,143,"['Order of the Phoenix', ""Dumbledore's Army""]"
201,9,145,['Order of the Phoenix']
202,9,146,"['Order of the Phoenix', ""Dumbledore's Army""]"
203,9,151,"[""Dumbledore's Army""]"
204,9,152,"[""Dumbledore's Army""]"
205,9,155,['Order of the Phoenix']
206,9,162,"[""Dumbledore's Army""]"
207,9,165,['Order of the Phoenix']
208,9,168,['Order of the Phoenix']
209,9,169,"[""Dumbledore's Army""]"
210,9,172,"['Order of the Phoenix', ""Dumbledore's Army""]"
211,9,173,['Order of the Phoenix']
212,9,175,"['Order of the Phoenix', ""Dumbledore's Army""]"
213,10,5,['Gryffindor']
214,10,16,['Gryffindor']
215,10,37,['Gryffindor']
216,10,54,['Gryffindor']
217,10,55,['Gryffindor']
218,10,56,['Gryffindor']
219,10,63,['Gryffindor']
220,10,64,['Gryffindor']
221,10,66,['Gryffindor']
222,10,71,['Gryffindor']
223,10,72,['Gryffindor']
224,10,79,['Gryffindor']
225,10,84,['Gryffindor']
226,10,85,['Gryffindor']
227,10,100,['Gryffindor']
228,10,103,['Gryffindor']
229,10,104,['Gryffindor']
230,10,105,['Gryffindor']
231,10,106,['Gryffindor']
232,10,107,['Gryffindor']
233,10,108,['Gryffindor']
234,10,109,['Gryffindor']
235,10,110,['Gryffindor']
236,10,114,['Gryffindor']
237,10,118,['Gryffindor']
238,10,132,['Gryffindor']
239,10,134,['Gryffindor']
240,10,139,['Gryffindor']
241,10,146,['Gryffindor']
242,10,152,['Gryffindor']
243,10,155,['Gryffindor']
244,10,162,['Gryffindor']
245,10,169,['Gryffindor']
246,10,172,['Gryffindor']
247,10,173,['Gryffindor']
248,10,175,['Gryffindor']
249,11,14,"['Death Eaters', 'Lord Voldemort']"
250,11,15,['Lord Voldemort']
251,11,19,"['Death Eaters', 'Lord Voldemort']"
252,11,26,"['Death Eaters', 'Lord Voldemort']"
253,11,47,"['Death Eaters', 'Lord Voldemort']"
254,11,48,['Lord Voldemort']
255,11,51,['Lord Voldemort']
256,11,60,"['Death Eaters', 'Lord Voldemort']"
257,11,79,"['Death Eaters', 'Lord Voldemort']"
258,11,86,['Lord Voldemort']
259,11,88,['Death Eaters']
260,11,90,"['Death Eaters', 'Lord Voldemort']"
261,11,121,"['Death Eaters', 'Lord Voldemort']"
262,11,147,['Lord Voldemort']
263,12,1,['British Ministry of Magic']
264,12,20,['British Ministry of Magic']
265,12,22,['British Ministry of Magic']
266,12,25,['British Ministry of Magic']
267,12,43,['British Ministry of Magic']
268,12,64,['British Ministry of Magic']
269,12,73,['British Ministry of Magic']
270,12,75,['British Ministry of Magic']
271,12,84,['British Ministry of Magic']
272,12,91,['British Ministry of Magic']
273,12,92,['British Ministry of Magic']
274,12,93,['British Ministry of Magic']
275,12,99,['British Ministry of Magic']
276,12,103,['British Ministry of Magic']
277,12,107,['British Ministry of Magic']
278,12,108,['British Ministry of Magic']
279,12,131,['British Ministry of Magic']
280,12,134,['British Ministry of Magic']
281,12,165,['British Ministry of Magic']
282,12,175,['British Ministry of Magic']
283,13,7,"['Ravenclaw', ""Dumbledore's Army""]"
284,13,9,"[""Dumbledore's Army""]"
285,13,16,"[""Dumbledore's Army""]"
286,13,24,"[""Dumbledore's Army""]"
287,13,36,"[""Dumbledore's Army""]"
288,13,37,"[""Dumbledore's Army""]"
289,13,41,['Ravenclaw']
290,13,46,"['Ravenclaw', ""Dumbledore's Army""]"
291,13,56,"[""Dumbledore's Army""]"
292,13,62,['Ravenclaw']
293,13,64,"[""Dumbledore's Army""]"
294,13,65,['Ravenclaw']
295,13,68,"[""Dumbledore's Army""]"
296,13,71,"[""Dumbledore's Army""]"
297,13,77,['Ravenclaw']
298,13,84,"[""Dumbledore's Army""]"
299,13,86,['Ravenclaw']
300,13,100,"[""Dumbledore's Army""]"
301,13,105,"[""Dumbledore's Army""]"
302,13,106,"[""Dumbledore's Army""]"
303,13,108,"[""Dumbledore's Army""]"
304,13,112,"[""Dumbledore's Army""]"
305,13,114,"[""Dumbledore's Army""]"
306,13,116,"[""Dumbledore's Army""]"
307,13,118,"[""Dumbledore's Army""]"
308,13,123,"['Ravenclaw', ""Dumbledore's Army""]"
309,13,124,['Ravenclaw']
310,13,131,['Ravenclaw']
311,13,134,"[""Dumbledore's Army""]"
312,13,139,"[""Dumbledore's Army""]"
313,13,143,"['Ravenclaw', ""Dumbledore's Army""]"
314,13,146,"[""Dumbledore's Army""]"
315,13,151,"['Ravenclaw', ""Dumbledore's Army""]"
316,13,152,"[""Dumbledore's Army""]"
317,13,156,['Ravenclaw']
318,13,157,['Ravenclaw']
319,13,162,"[""Dumbledore's Army""]"
320,13,166,['Ravenclaw']
321,13,169,"[""Dumbledore's Army""]"
322,13,171,['Ravenclaw']
323,13,172,"[""Dumbledore's Army""]"
324,13,175,"[""Dumbledore's Army""]"
325,14,4,['Slytherin']
326,14,6,['Slytherin']
327,14,11,"['Death Eaters', 'Lord Voldemort']"
328,14,15,"['Slytherin', 'Lord Voldemort']"
329,14,19,"['Death Eaters', 'Lord Voldemort']"
330,14,26,"['Death Eaters', 'Lord Voldemort']"
331,14,47,"['Slytherin', 'Death Eaters', 'Lord Voldemort']"
332,14,48,"['Slytherin', 'Lord Voldemort']"
333,14,51,['Lord Voldemort']
334,14,58,['Slytherin']
335,14,60,"['Death Eaters', 'Lord Voldemort']"
336,14,61,['Slytherin']
337,14,74,['Slytherin']
338,14,79,"['Death Eaters', 'Lord Voldemort']"
339,14,86,['Lord Voldemort']
340,14,88,"['Slytherin', 'Death Eaters']"
341,14,90,"['Death Eaters', 'Lord Voldemort']"
342,14,95,['Slytherin']
343,14,96,['Slytherin']
344,14,98,['Slytherin']
345,14,111,['Slytherin']
346,14,119,['Slytherin']
347,14,121,"['Death Eaters', 'Lord Voldemort']"
348,14,140,['Slytherin']
349,14,144,['Slytherin']
350,14,147,['Lord Voldemort']
351,14,150,['Slytherin']
352,14,164,['Slytherin']
353,14,167,['Slytherin']
354,15,4,['Slytherin']
355,15,6,['Slytherin']
356,15,11,['Lord Voldemort']
357,15,14,"['Slytherin', 'Lord Voldemort']"
358,15,19,['Lord Voldemort']
359,15,26,['Lord Voldemort']
360,15,47,"['Slytherin', 'Lord Voldemort']"
361,15,48,"['Slytherin', 'Lord Voldemort']"
362,15,51,['Lord Voldemort']
363,15,58,['Slytherin']
364,15,60,['Lord Voldemort']
365,15,61,['Slytherin']
366,15,74,['Slytherin']
367,15,79,['Lord Voldemort']
368,15,86,['Lord Voldemort']
369,15,88,['Slytherin']
370,15,90,['Lord Voldemort']
371,15,95,['Slytherin']
372,15,96,['Slytherin']
373,15,98,['Slytherin']
374,15,111,['Slytherin']
375,15,119,['Slytherin']
376,15,121,['Lord Voldemort']
377,15,140,['Slytherin']
378,15,144,['Slytherin']
379,15,147,['Lord Voldemort']
380,15,150,['Slytherin']
381,15,164,['Slytherin']
382,15,167,['Slytherin']
383,16,5,['Gryffindor']
384,16,7,"[""Dumbledore's Army""]"
385,16,9,"[""Dumbledore's Army""]"
386,16,10,['Gryffindor']
387,16,13,"[""Dumbledore's Army""]"
388,16,21,['Harry Potter']
389,16,24,"[""Dumbledore's Army"", 'Harry Potter']"
390,16,34,['Harry Potter']
391,16,36,"[""Dumbledore's Army""]"
392,16,37,"['Gryffindor', ""Dumbledore's Army""]"
393,16,40,['Harry Potter']
394,16,46,"[""Dumbledore's Army""]"
395,16,54,['Gryffindor']
396,16,55,"['Gryffindor', 'Harry Potter']"
397,16,56,"['Gryffindor', ""Dumbledore's Army""]"
398,16,63,['Gryffindor']
399,16,64,"['Gryffindor', ""Dumbledore's Army"", 'Harry Potter']"
400,16,65,['Harry Potter']
401,16,66,['Gryffindor']
402,16,68,"[""Dumbledore's Army""]"
403,16,71,"['Gryffindor', ""Dumbledore's Army""]"
404,16,72,['Gryffindor']
405,16,77,['Harry Potter']
406,16,79,['Gryffindor']
407,16,84,"['Gryffindor', ""Dumbledore's Army""]"
408,16,85,['Gryffindor']
409,16,98,['Harry Potter']
410,16,100,"['Gryffindor', ""Dumbledore's Army""]"
411,16,103,['Gryffindor']
412,16,104,['Gryffindor']
413,16,105,"['Gryffindor', ""Dumbledore's Army""]"
414,16,106,"['Gryffindor', ""Dumbledore's Army""]"
415,16,107,['Gryffindor']
416,16,108,"['Gryffindor', ""Dumbledore's Army""]"
417,16,109,['Gryffindor']
418,16,110,['Gryffindor']
419,16,112,"[""Dumbledore's Army""]"
420,16,114,"['Gryffindor', ""Dumbledore's Army""]"
421,16,116,"[""Dumbledore's Army""]"
422,16,118,"['Gryffindor', ""Dumbledore's Army""]"
423,16,123,"[""Dumbledore's Army""]"
424,16,125,['Harry Potter']
425,16,132,['Gryffindor']
426,16,134,"['Gryffindor', ""Dumbledore's Army""]"
427,16,139,"['Gryffindor', ""Dumbledore's Army""]"
428,16,143,"[""Dumbledore's Army""]"
429,16,146,"['Gryffindor', ""Dumbledore's Army""]"
430,16,151,"[""Dumbledore's Army""]"
431,16,152,"['Gryffindor', ""Dumbledore's Army""]"
432,16,155,['Gryffindor']
433,16,162,"['Gryffindor', ""Dumbledore's Army""]"
434,16,169,"['Gryffindor', ""Dumbledore's Army""]"
435,16,171,['Harry Potter']
436,16,172,"['Gryffindor', ""Dumbledore's Army""]"
437,16,173,['Gryffindor']
438,16,175,"['Gryffindor', ""Dumbledore's Army"", 'Harry Potter']"
439,17,71,['Slug Club']
440,17,84,['Slug Club']
441,17,88,['Slug Club']
442,17,95,['Slug Club']
443,17,111,['Slug Club']
444,17,134,['Slug Club']
445,17,155,['Slug Club']
446,17,172,['Slug Club']
447,19,11,"['Death Eaters', 'Lord Voldemort']"
448,19,14,"['Death Eaters', 'Lord Voldemort']"
449,19,15,['Lord Voldemort']
450,19,26,"['Death Eaters', 'Lord Voldemort']"
451,19,47,"['Death Eaters', 'Lord Voldemort']"
452,19,48,['Lord Voldemort']
453,19,51,['Lord Voldemort']
454,19,60,"['Death Eaters', 'Lord Voldemort']"
455,19,79,"['Death Eaters', 'Lord Voldemort']"
456,19,86,['Lord Voldemort']
457,19,88,['Death Eaters']
458,19,90,"['Death Eaters', 'Lord Voldemort']"
459,19,121,"['Death Eaters', 'Lord Voldemort']"
460,19,147,['Lord Voldemort']
461,20,1,['British Ministry of Magic']
462,20,12,['British Ministry of Magic']
463,20,22,['British Ministry of Magic']
464,20,25,['British Ministry of Magic']
465,20,43,['British Ministry of Magic']
466,20,64,['British Ministry of Magic']
467,20,73,['British Ministry of Magic']
468,20,75,"['British Ministry of Magic', 'Department of Magical Law Enforcement']"
469,20,84,"['British Ministry of Magic', 'Department of Magical Law Enforcement']"
470,20,91,['British Ministry of Magic']
471,20,92,['British Ministry of Magic']
472,20,93,['British Ministry of Magic']
473,20,99,"['British Ministry of Magic', 'Department of Magical Law Enforcement']"
474,20,103,"['British Ministry of Magic', 'Department of Magical Law Enforcement']"
475,20,107,['British Ministry of Magic']
476,20,108,['British Ministry of Magic']
477,20,115,['Department of Magical Law Enforcement']
478,20,131,['British Ministry of Magic']
479,20,134,"['British Ministry of Magic', 'Department of Magical Law Enforcement']"
480,20,146,['Department of Magical Law Enforcement']
481,20,165,['British Ministry of Magic']
482,20,175,['British Ministry of Magic']
483,21,5,['Order of the Phoenix']
484,21,9,['Order of the Phoenix']
485,21,16,['Harry Potter']
486,21,24,"['Order of the Phoenix', 'Harry Potter']"
487,21,25,"['Order of the Phoenix', 'Advance Guard']"
488,21,27,['Order of the Phoenix']
489,21,34,"['Order of the Phoenix', 'Harry Potter']"
490,21,40,"['Order of the Phoenix', 'Harry Potter']"
491,21,55,"['Order of the Phoenix', 'Harry Potter']"
492,21,56,['Order of the Phoenix']
493,21,64,"['Order of the Phoenix', 'Harry Potter']"
494,21,65,"['Order of the Phoenix', 'Harry Potter']"
495,21,66,"['Order of the Phoenix', 'Advance Guard']"
496,21,73,"['Order of the Phoenix', 'Advance Guard']"
497,21,77,['Harry Potter']
498,21,83,"['Order of the Phoenix', 'Advance Guard']"
499,21,84,['Order of the Phoenix']
500,21,85,['Order of the Phoenix']
501,21,93,"['Order of the Phoenix', 'Advance Guard']"
502,21,98,"['Order of the Phoenix', 'Harry Potter']"
503,21,103,['Order of the Phoenix']
504,21,104,['Order of the Phoenix']
505,21,105,['Order of the Phoenix']
506,21,106,['Order of the Phoenix']
507,21,108,['Order of the Phoenix']
508,21,109,['Order of the Phoenix']
509,21,125,"['Order of the Phoenix', 'Harry Potter']"
510,21,133,['Order of the Phoenix']
511,21,134,['Order of the Phoenix']
512,21,142,['Order of the Phoenix']
513,21,143,['Order of the Phoenix']
514,21,145,['Order of the Phoenix']
515,21,146,['Order of the Phoenix']
516,21,155,['Order of the Phoenix']
517,21,165,"['Order of the Phoenix', 'Advance Guard']"
518,21,168,"['Order of the Phoenix', 'Advance Guard']"
519,21,171,['Harry Potter']
520,21,172,['Order of the Phoenix']
521,21,173,['Order of the Phoenix']
522,21,175,"['Order of the Phoenix', 'Harry Potter']"
523,22,1,['British Ministry of Magic']
524,22,12,['British Ministry of Magic']
525,22,20,['British Ministry of Magic']
526,22,25,['British Ministry of Magic']
527,22,43,['British Ministry of Magic']
528,22,64,['British Ministry of Magic']
529,22,73,['British Ministry of Magic']
530,22,75,['British Ministry of Magic']
531,22,84,['British Ministry of Magic']
532,22,91,['British Ministry of Magic']
533,22,92,['British Ministry of Magic']
534,22,93,['British Ministry of Magic']
535,22,99,['British Ministry of Magic']
536,22,103,['British Ministry of Magic']
537,22,107,['British Ministry of Magic']
538,22,108,['British Ministry of Magic']
539,22,131,['British Ministry of Magic']
540,22,134,['British Ministry of Magic']
541,22,165,['British Ministry of Magic']
542,22,175,['British Ministry of Magic']
543,23,33,['Hufflepuff']
544,23,36,['Hufflepuff']
545,23,67,['Hufflepuff']
546,23,68,['Hufflepuff']
547,23,91,['Hufflepuff']
548,23,97,['Hufflepuff']
549,23,112,['Hufflepuff']
550,23,116,['Hufflepuff']
551,23,138,['Hufflepuff']
552,23,163,['Hufflepuff']
553,23,165,['Hufflepuff']
554,24,5,['Order of the Phoenix']
555,24,7,"[""Dumbledore's Army""]"
556,24,9,"['Order of the Phoenix', ""Dumbledore's Army""]"
557,24,13,"[""Dumbledore's Army""]"
558,24,16,"[""Dumbledore's Army"", 'Harry Potter']"
559,24,21,"['Order of the Phoenix', 'Harry Potter']"
560,24,25,['Order of the Phoenix']
561,24,27,['Order of the Phoenix']
562,24,34,"['Order of the Phoenix', 'Harry Potter']"
563,24,36,"[""Dumbledore's Army""]"
564,24,37,"[""Dumbledore's Army""]"
565,24,40,"['Order of the Phoenix', 'Harry Potter']"
566,24,46,"[""Dumbledore's Army""]"
567,24,55,"['Order of the Phoenix', 'Harry Potter']"
568,24,56,"['Order of the Phoenix', ""Dumbledore's Army""]"
569,24,64,"['Order of the Phoenix', ""Dumbledore's Army"", 'Harry Potter']"
570,24,65,"['Order of the Phoenix', 'Harry Potter']"
571,24,66,['Order of the Phoenix']
572,24,68,"[""Dumbledore's Army""]"
573,24,71,"[""Dumbledore's Army""]"
574,24,73,['Order of the Phoenix']
575,24,77,['Harry Potter']
576,24,83,['Order of the Phoenix']
577,24,84,"['Order of the Phoenix', ""Dumbledore's Army""]"
578,24,85,['Order of the Phoenix']
579,24,93,['Order of the Phoenix']
580,24,98,"['Order of the Phoenix', 'Harry Potter']"
581,24,100,"[""Dumbledore's Army""]"
582,24,103,['Order of the Phoenix']
583,24,104,['Order of the Phoenix']
584,24,105,"['Order of the Phoenix', ""Dumbledore's Army""]"
585,24,106,"['Order of the Phoenix', ""Dumbledore's Army""]"
586,24,108,"['Order of the Phoenix', ""Dumbledore's Army""]"
587,24,109,['Order of the Phoenix']
588,24,112,"[""Dumbledore's Army""]"
589,24,114,"[""Dumbledore's Army""]"
590,24,116,"[""Dumbledore's Army""]"
591,24,118,"[""Dumbledore's Army""]"
592,24,123,"[""Dumbledore's Army""]"
593,24,125,"['Order of the Phoenix', 'Harry Potter']"
594,24,133,['Order of the Phoenix']
595,24,134,"['Order of the Phoenix', ""Dumbledore's Army""]"
596,24,139,"[""Dumbledore's Army""]"
597,24,142,['Order of the Phoenix']
598,24,143,"['Order of the Phoenix', ""Dumbledore's Army""]"
599,24,145,['Order of the Phoenix']
600,24,146,"['Order of the Phoenix', ""Dumbledore's Army""]"
601,24,151,"[""Dumbledore's Army""]"
602,24,152,"[""Dumbledore's Army""]"
603,24,155,['Order of the Phoenix']
604,24,162,"[""Dumbledore's Army""]"
605,24,165,['Order of the Phoenix']
606,24,168,['Order of the Phoenix']
607,24,169,"[""Dumbledore's Army""]"
608,24,171,['Harry Potter']
609,24,172,"['Order of the Phoenix', ""Dumbledore's Army""]"
610,24,173,['Order of the Phoenix']
611,24,175,"['Order of the Phoenix', ""Dumbledore's Army"", 'Harry Potter']"
612,25,1,['British Ministry of Magic']
613,25,5,['Order of the Phoenix']
614,25,9,['Order of the Phoenix']
615,25,12,['British Ministry of Magic']
616,25,20,['British Ministry of Magic']
617,25,21,"['Order of the Phoenix', 'Advance Guard']"
618,25,22,['British Ministry of Magic']
619,25,24,['Order of the Phoenix']
620,25,27,['Order of the Phoenix']
621,25,34,['Order of the Phoenix']
622,25,40,['Order of the Phoenix']
623,25,43,['British Ministry of Magic']
624,25,55,['Order of the Phoenix']
625,25,56,['Order of the Phoenix']
626,25,64,"['British Ministry of Magic', 'Order of the Phoenix']"
627,25,65,['Order of the Phoenix']
628,25,66,"['Order of the Phoenix', 'Advance Guard']"
629,25,73,"['British Ministry of Magic', 'Order of the Phoenix', 'Advance Guard']"
630,25,75,['British Ministry of Magic']
631,25,83,"['Order of the Phoenix', 'Advance Guard']"
632,25,84,"['British Ministry of Magic', 'Order of the Phoenix']"
633,25,85,['Order of the Phoenix']
634,25,91,['British Ministry of Magic']
635,25,92,['British Ministry of Magic']
636,25,93,"['British Ministry of Magic', 'Order of the Phoenix', 'Advance Guard']"
637,25,98,['Order of the Phoenix']
638,25,99,['British Ministry of Magic']
639,25,103,"['British Ministry of Magic', 'Order of the Phoenix']"
640,25,104,['Order of the Phoenix']
641,25,105,['Order of the Phoenix']
642,25,106,['Order of the Phoenix']
643,25,107,['British Ministry of Magic']
644,25,108,"['British Ministry of Magic', 'Order of the Phoenix']"
645,25,109,['Order of the Phoenix']
646,25,125,['Order of the Phoenix']
647,25,131,['British Ministry of Magic']
648,25,133,['Order of the Phoenix']
649,25,134,"['British Ministry of Magic', 'Order of the Phoenix']"
650,25,142,['Order of the Phoenix']
651,25,143,['Order of the Phoenix']
652,25,145,['Order of the Phoenix']
653,25,146,['Order of the Phoenix']
654,25,155,['Order of the Phoenix']
655,25,165,"['British Ministry of Magic', 'Order of the Phoenix', 'Advance Guard']"
656,25,168,"['Order of the Phoenix', 'Advance Guard']"
657,25,172,['Order of the Phoenix']
658,25,173,['Order of the Phoenix']
659,25,175,"['British Ministry of Magic', 'Order of the Phoenix']"
660,26,11,"['Death Eaters', 'Lord Voldemort']"
661,26,14,"['Death Eaters', 'Lord Voldemort']"
662,26,15,['Lord Voldemort']
663,26,19,"['Death Eaters', 'Lord Voldemort']"
664,26,47,"['Death Eaters', 'Lord Voldemort']"
665,26,48,['Lord Voldemort']
666,26,51,['Lord Voldemort']
667,26,60,"['Death Eaters', 'Lord Voldemort']"
668,26,79,"['Death Eaters', 'Lord Voldemort']"
669,26,86,['Lord Voldemort']
670,26,88,['Death Eaters']
671,26,90,"['Death Eaters', 'Lord Voldemort']"
672,26,121,"['Death Eaters', 'Lord Voldemort']"
673,26,147,['Lord Voldemort']
674,27,5,['Order of the Phoenix']
675,27,9,['Order of the Phoenix']
676,27,21,['Order of the Phoenix']
677,27,24,['Order of the Phoenix']
678,27,25,['Order of the Phoenix']
679,27,34,['Order of the Phoenix']
680,27,40,['Order of the Phoenix']
681,27,55,['Order of the Phoenix']
