,id,movie,chapter,character,dialog,polarity_score
82,82,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,Who's there? Ahh!,0.0
83,83,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,Sorry 'bout that.,-0.0772
84,84,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,"I demand that you leave at once, sir! You are breaking and entering!",-0.3147
85,85,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",0.4295
86,86,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Dudley Dursley,I-I-I'm not Harry.,0.0
87,87,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,I-I am.,0.0
88,88,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.",0.4374
89,89,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Thank you!,0.4199
90,90,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"It's not every day that your young man turns eleven, now is it?",0.0
91,91,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Excuse me, who are you?",0.0772
92,92,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.",0.0
93,93,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Sorry, no.",-0.0772
94,94,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",0.0
95,95,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Learned what?,0.0
96,96,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"You're a wizard, Harry.",0.0
97,97,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,I-I'm a what?,0.0
98,98,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little.",0.4404
99,99,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.",-0.34
100,100,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.",-0.6662
101,101,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.",0.765
102,102,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,"He'll not be going! We swore when we took him in, we’d put a stop to this rubbish!",-0.4184
103,103,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,You knew? You knew all along and you never told me?,0.0
104,104,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Petunia Dursley,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.",-0.762
105,105,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Blown up? You told me my parents died in a car crash!,-0.7644
106,106,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,A car crash? A car crash kill James and Lily Potter?,-0.8875
107,107,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Petunia Dursley,We had to tell him something.,0.0
108,108,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,It's an outrage! It's a scandal!,-0.7772
109,109,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,He'll not be going!,0.0
110,110,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",0.6597
111,111,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Muggle?,0.0
112,112,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore.",0.0
113,113,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,I will not pay for some crackpot old fool to teach him magic tricks!,-0.5261
114,114,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Never, insult Albus Dumbledore, in front of me.",0.4023
115,115,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Dudley Dursley,Ahh!,0.0
116,116,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic.",0.4019
117,117,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Okay.,0.2263
118,118,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?",0.6369
119,119,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"First year students will require: three sets of work robes, one wand.",0.0
120,120,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Essential bit of equipment, Harry.",0.0
121,121,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?",0.0
122,122,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon.",0.0644
123,123,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,But you like a dragon?,0.5023
124,124,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Fast and misunderstood beasts, Harry. Fast and misunderstood.",-0.5859
125,125,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?",0.4019
126,126,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,If you know where to go.,0.0
127,127,Harry Potter and the Philosopher's Stone,Diagon Alley,Tom,"Ah, Hagrid! The usual, I presume?",0.0
128,128,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies.",-0.0531
129,129,Harry Potter and the Philosopher's Stone,Diagon Alley,Tom,Bless my soul. It's Harry Potter.,0.4215
130,130,Harry Potter and the Philosopher's Stone,Diagon Alley,Man,"Welcome back, Mr. Potter, welcome back.",0.7184
131,131,Harry Potter and the Philosopher's Stone,Diagon Alley,Witch,"Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last.",0.0
132,132,Harry Potter and the Philosopher's Stone,Diagon Alley,Quirinus Quirrell,Harry P-potter. C-can't tell you how pleased I am to meet you.,0.4404
133,133,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",0.128
134,134,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"Oh, nice to meet you.",0.4215
135,135,Harry Potter and the Philosopher's Stone,Diagon Alley,Quirinus Quirrell,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.",0.5423
136,136,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Yes, well, must be going now. Lots to buy. Heh.",0.4939
137,137,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,Goodbye.,0.0
138,138,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"See, Harry, you're famous!",0.0
139,139,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?",0.0
140,140,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry.",0.2589
141,141,Harry Potter and the Philosopher's Stone,Diagon Alley,Boy,"It's a world class racing broom. Look at it, it’s the new Nimbus 2000! It's the fastest model yet.",0.0
142,142,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"But, Hagrid, how am I to pay for all this? I haven't any money.",-0.1531
143,143,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.",-0.3468
144,144,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"Uh, Hagrid, what exactly are these things?",0.0
145,145,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.",0.7255
146,146,Harry Potter and the Philosopher's Stone,Gringotts,Goblin,And does Mr. Harry Potter have his key?,0.0
147,147,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.",-0.4601
148,148,Harry Potter and the Philosopher's Stone,Gringotts,Goblin,Very well.,0.3384
149,149,Harry Potter and the Philosopher's Stone,Gringotts,Griphook,"Vault 687. Lamp, please.  Key please.",0.5574
150,150,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Didn't think your mum and dad would leave you with nothing now, did ya?",-0.0516
151,151,Harry Potter and the Philosopher's Stone,Gringotts,Griphook,Vault 713.,0.0
152,152,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"What's in there, Hagrid?",0.0
153,153,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Can't tell you, Harry. It's Hogwarts business. Very secret.",0.0
154,154,Harry Potter and the Philosopher's Stone,Gringotts,Griphook,Stand back.,0.0
155,155,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Best not mention this to anyone, Harry.",0.6369
156,156,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,I still need...a wand.,0.0
157,157,Harry Potter and the Philosopher's Stone,Ollivanders,Rubeus Hagrid,"A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long.",-0.1538
158,158,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,Hello? Hello?,0.0
159,159,Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious.",0.8418
160,160,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,"Sorry, but what's curious?",0.4215
161,161,Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar.",0.3182
162,162,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,And...who owned that wand?,0.0
163,163,Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great.",0.9783
164,164,Harry Potter and the Philosopher's Stone,Ollivanders,Rubeus Hagrid,Harry! Harry! Happy birthday!,0.6784
165,165,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,Wow.,0.5859
166,166,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"You all right, Harry? You seem very quiet.",0.0
167,167,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.",-0.6705
168,168,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-...",-0.4601
169,169,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Maybe if you wrote it down?,0.0
170,170,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"No, I can't spell it. All right.  Voldemort.",0.0
171,171,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Voldemort?,0.0
172,172,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,Shh!!,0.0
173,173,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. ‘Cept you.",-0.8968
174,174,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Me? Voldemort tried to kill...me?,0.0
175,175,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that.",-0.529
176,176,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,What happened to...to You-Know-Who?,0.0
177,177,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"Well, some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous. That's why everybody knows your name. You're the boy who lived.",0.1001
178,178,Harry Potter and the Philosopher's Stone,Platform 9¾,Rubeus Hagrid,"What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket.",0.4684
179,179,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,"Platform 9¾? But, Hagrid, there must be a mistake. This says Platform 9¾. There's no such thing...is there?",-0.7399
180,180,Harry Potter and the Philosopher's Stone,Platform 9¾,Man,Sorry.,-0.0772
181,181,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,"Excuse me, excuse me.",0.1531
182,182,Harry Potter and the Philosopher's Stone,Platform 9¾,Guard,"Right on your left, ma'am.",0.0
183,183,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,"Excuse me, sir. Can you tell me where I might find Platform 9¾?",0.0772
184,184,Harry Potter and the Philosopher's Stone,Platform 9¾,Guard,"9¾? Think you're being funny, do ya?",0.504
185,185,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"It's the same year after year. Always packed with Muggles, of course.",0.0
186,186,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,Muggles?,0.0
187,187,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"Come on. Platform 9¾ this way! All right, Percy, you first.",0.0
188,188,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"Fred, you next.",0.0
189,189,Harry Potter and the Philosopher's Stone,Platform 9¾,George Weasley,"He's not Fred, I am!",0.0
190,190,Harry Potter and the Philosopher's Stone,Platform 9¾,Fred Weasley,"Honestly, woman, you call yourself our mother.",0.4588
191,191,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"Oh, I'm sorry, George.",-0.0772
192,192,Harry Potter and the Philosopher's Stone,Platform 9¾,Fred Weasley,I'm only joking. I am Fred.,0.2263
193,193,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,Excuse me! C-could you tell me how to-,0.1511
194,194,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well.  Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if you're nervous.",0.8411
195,195,Harry Potter and the Philosopher's Stone,Platform 9¾,Ginny Weasley,Good luck.,0.7096
196,196,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"Excuse me, do you mind? Everywhere else is full.",0.0772
197,197,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,"No, not at all.",0.0
198,198,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"I'm Ron, by the way. Ron Weasley.",0.0
