,name,birth,death,species,ancestry,gender,hair_color,eye_color,patronus,house,associated_groups,books_featured_in,nb_books_featured_in,wood,length,core,Note,id,label,link,link_image,connection_label,nb_associations,nb_interactions,image_name
10,Sir Cadogan,"Middle Ages,",Before 1993,Human,Pure-blood,Male,White,,,Gryffindor,"['Hogwarts School of Witchcraft and Wizardry', 'Gryffindor']","[3, 4, 5, 7]",4,,,,,154,Sir Cadogan,Sir_Cadogan,http://img1.wikia.nocookie.net/__cb20090901120242/harrypotter/images/d/d3/Sir_Cadogan.JPG,"['Fat Lady', 'Harry Potter', 'Minerva McGonagall', 'Neville Longbottom', 'Seamus Finnigan']",2,5,sir_cadogan
11,Amycus Carrow,Pre 1950s or 1960s,,Human,Pure-blood or Half-blood,Male,,,None,,"['Death Eaters', 'Lord Voldemort', 'Hogwarts School of Witchcraft and Wizardry']","[6, 7]",2,,,,,15,Amycus Carrow,Amycus_Carrow,http://img3.wikia.nocookie.net/__cb20110729235427/harrypotter/images/f/f2/AmycusCarrow.png,"['Albus Dumbledore', 'Alecto Carrow', 'Argus Filch', 'Augusta Longbottom', 'Draco Malfoy', 'Ernest Macmillan', 'Fat Friar', 'Fenrir Greyback', 'Filius Flitwick', 'Ginny Weasley', 'Hannah Abbott', 'Harry Potter', 'Helena Ravenclaw', 'Hermione Granger', 'Irma Pince', 'Kingsley Shacklebolt', 'Lord Voldemort', 'Luna Lovegood', 'Michael Corner', 'Minerva McGonagall', 'Neville Longbottom', 'Nicholas de Mimsy-Porpington', 'Pansy Parkinson', 'Pius Thicknesse', 'Pomona Sprout', 'Poppy Pomfrey', 'Rolanda Hooch', 'Romilda Vane', 'Ronald Weasley', 'Severus Snape', 'Sybill Trelawney', 'Terry Boot', 'Vincent Crabbe']",3,33,amycus_carrow
12,Reginald Cattermole,"Sun in Libra, moon in Virgo",,Human,Pure-blood or Half-blood,Male,Greyish/Red,Green,Non-corporeal,,['British Ministry of Magic'],[7],1,,,,,16,Reginald Cattermole,Reginald_Cattermole,http://img3.wikia.nocookie.net/__cb20140331134403/harrypotter/images/a/a4/XEeHo_oy8Hk.jpg,"['Harry Potter', 'Hermione Granger', 'Mary Cattermole', 'Ronald Weasley']",1,4,reginald_cattermole
13,Michael Corner,between 1 September 1979 and 31 August 1980,,Human,Half-blood,Male,Black,Brown,Non-corporeal,Ravenclaw,"['Hogwarts School of Witchcraft and Wizardry', 'Ravenclaw', ""Dumbledore's Army""]","[5, 6, 7]",3,,,,,20,Michael Corner,Michael_Corner,http://img1.wikia.nocookie.net/__cb20070811230229/harrypotter/images/4/44/Mikecorner.JPG,"['Albus Dumbledore', 'Alecto Carrow', 'Alicia Spinnet', 'Amycus Carrow', 'Angelina Johnson', 'Anthony Goldstein', 'Cedric Diggory', 'Cho Chang', 'Colin Creevey', 'Dean Thomas', 'Dolores Umbridge', 'Fred Weasley', 'George Weasley', 'Ginny Weasley', 'Harry Potter', 'Hermione Granger', 'Katie Bell', 'Lee Jordan', 'Lord Voldemort', 'Luna Lovegood', 'Neville Longbottom', 'Parvati Patil', 'Ronald Weasley', 'Seamus Finnigan', 'Susan Bones', 'Terry Boot']",3,26,michael_corner
14,Vincent Crabbe senior,,,Human,Pure-blood,Male,,,None,Slytherin,"['Lord Voldemort', 'Death Eaters', 'Slytherin', 'Hogwarts School of Witchcraft and Wizardry']","[4, 5, 7]",3,,,,,21,Vincent Crabbe senior,Crabbe,http://img2.wikia.nocookie.net/__cb20100214192235/harrypotter/images/b/b8/Crabbesnr2.PNG,"['Albus Dumbledore', 'Draco Malfoy', 'Gregory Goyle', 'Lord Voldemort', 'Lucius Malfoy', 'Rabastan Lestrange', 'Severus Snape', 'Vincent Crabbe']",4,8,vincent_crabbe_senior
15,Vincent Crabbe,between 2 September 1979 and 1 September 1980,"2 May, 1998 (aged 17/18)",Human,Pure-blood,Male,,,None,Slytherin,"['Hogwarts School of Witchcraft and Wizardry', 'Slytherin', 'Lord Voldemort']","[1, 2, 3, 4, 5, 6, 7]",7,,,,,22,Vincent Crabbe,Vincent_Crabbe,http://img3.wikia.nocookie.net/__cb20140603214243/harrypotter/images/5/58/Vincent_Crabbe1.jpg,"['Alastor Moody', 'Alecto Carrow', 'Amycus Carrow', 'Argus Filch', 'Bartemius Crouch Junior', 'Cedric Diggory', 'Cho Chang', 'Dolores Umbridge', 'Draco Malfoy', 'Dudley Dursley', 'Ernest Macmillan', 'George Weasley', 'Goyle Sr', 'Gregory Goyle', 'Hannah Abbott', 'Harry Potter', 'Hermione Granger', 'Justin Finch-Fletchley', 'Lucius Malfoy', 'Millicent Bulstrode', 'Myrtle Warren', 'Narcissa Malfoy', 'Neville Longbottom', 'Pansy Parkinson', 'Rolanda Hooch', 'Ronald Weasley', 'Susan Bones', 'Terry Boot', 'Theodore Nott', 'Vincent Crabbe senior']",3,30,vincent_crabbe
16,Colin Creevey,betwen 3 May and 31 August 1981,"2 May, 1998 (aged 16)",Human,Muggle-born,Male,Mousy,,,Gryffindor,"[""Dumbledore's Army"", 'Harry Potter', 'Hogwarts School of Witchcraft and Wizardry', 'Gryffindor']","[2, 3, 4, 5, 6, 7]",6,,,,,23,Colin Creevey,Colin_Creevey,http://img2.wikia.nocookie.net/__cb20140604193056/harrypotter/images/4/48/Colin_Creevey.jpg,"['Albus Dumbledore', 'Alicia Spinnet', 'Angelina Johnson', 'Anthony Goldstein', 'Argus Filch', 'Cedric Diggory', 'Cho Chang', 'Dolores Umbridge', 'Draco Malfoy', 'Ernest Macmillan', 'Filius Flitwick', 'Gilderoy Lockhart', 'Ginny Weasley', 'Hannah Abbott', 'Harry Potter', 'Hermione Granger', 'Justin Finch-Fletchley', 'Katie Bell', 'Lee Jordan', 'Lord Voldemort', 'Luna Lovegood', 'Marietta Edgecombe', 'Michael Corner', 'Neville Longbottom', 'Oliver Wood', 'Peter Pettigrew', 'Pomona Sprout', 'Poppy Pomfrey', 'Rita Skeeter', 'Ronald Weasley', 'Salazar Slytherin', 'Seamus Finnigan', 'Severus Snape', 'Susan Bones', 'Terry Boot', 'Zacharias Smith']",4,36,colin_creevey
17,Dirk Cresswell,between 1 September 1960 and 31 August 1961,"March, 1998",Human,Muggle-born,Male,,,Non-corporeal,,"['Hogwarts School of Witchcraft and Wizardry', 'Slug Club']","[6, 7]",2,,,,,24,Dirk Cresswell,Dirk_Cresswell,http://img3.wikia.nocookie.net/__cb20111204170317/harrypotter/images/3/37/Ricky_Wilson_DH1.jpg,"['Albus Dumbledore', 'Arthur Weasley', 'Dean Thomas', 'Dolores Umbridge', 'Fenrir Greyback', 'Griphook', 'Harry Potter', 'Hermione Granger', 'Horace Slughorn', 'Percy Weasley', 'Pius Thicknesse', 'Severus Snape', 'Ted Tonks', 'Xenophilius Lovegood']",2,14,dirk_cresswell
18,Crookshanks,Pre 1993,,,,Male,Ginger,Yellow,,,[],"[3, 4, 5, 6, 7]",5,,,,,155,Crookshanks,Crookshanks,http://img3.wikia.nocookie.net/__cb20130826202228/harrypotter/images/7/71/CrookshanksPottermore.png,"['Fleur Delacour', 'Ginny Weasley', 'Harry Potter', 'Hermione Granger', 'Minerva McGonagall', 'Neville Longbottom', 'Peter Pettigrew', 'Ronald Weasley', 'Rubeus Hagrid', 'Sirius Black']",0,10,crookshanks
19,Bartemius Crouch Junior,c. 1962,"c.1995-1996(aged 33 - 34) (received the Dementor's Kiss on 24 June, 1995)",Human,Pure-blood or Half-blood,Male,Straw blonde,,None,,"['Lord Voldemort', 'Death Eaters', 'Hogwarts School of Witchcraft and Wizardry']","[4, 5, 6]",3,,,,,26,Bartemius Crouch Junior,Bartemius_Crouch_Jr.,http://img1.wikia.nocookie.net/__cb20100429165555/harrypotter/images/a/a0/Barty_Crouch%2C_Jr.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Alice Longbottom', 'Amos Diggory', 'Argus Filch', 'Bartemius Crouch Senior', 'Bellatrix Lestrange', 'Cedric Diggory', 'Cornelius Fudge', 'Dobby', 'Draco Malfoy', 'Filius Flitwick', 'Fleur Delacour', 'Frank Longbottom', 'Hannah Abbott', 'Harry Potter', 'Hermione Granger', 'Igor Karkaroff', 'Lavender Brown', 'Lord Voldemort', 'Lucius Malfoy', 'Ludovic Bagman', 'Minerva McGonagall', 'Myrtle Warren', 'Neville Longbottom', 'Peter Pettigrew', 'Pomona Sprout', 'Rabastan Lestrange', 'Regulus Black', 'Remus Lupin', 'Rita Skeeter', 'Rodolphus Lestrange', 'Ronald Weasley', 'Rubeus Hagrid', 'Severus Snape', 'Sirius Black', 'Tom Riddle Senior', 'Viktor Krum', 'Vincent Crabbe', 'Winky']",3,40,bartemius_crouch_junior
20,Bartemius Crouch Senior,,"27 May, 1995",Human,Pure-blood,Male,"Grey, formerly Dark",,Non-corporeal,,"['British Ministry of Magic', 'Department of Magical Law Enforcement']","[4, 5, 6, 7]",4,,,,,25,Bartemius Crouch Senior,Bartemius_Crouch_Sr.,http://img2.wikia.nocookie.net/__cb20100123214858/harrypotter/images/e/e3/Roger_Lloyd_Pack_as_Barty_Crouch_Sr._%28GoF-promo-02%29.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Alice Longbottom', 'Argus Filch', 'Augustus Rookwood', 'Bartemius Crouch Junior', 'Cornelius Fudge', 'Dobby', 'Frank Longbottom', 'Harry Potter', 'Hermione Granger', 'Igor Karkaroff', 'Lord Voldemort', 'Ludovic Bagman', 'Nagini', 'Percy Weasley', 'Peter Pettigrew', 'Ronald Weasley', 'Rubeus Hagrid', 'Sirius Black', 'Vernon Dursley', 'Viktor Krum', 'Winky']",2,23,bartemius_crouch_senior
21,Dedalus Diggle,Pre 1964,,Human,Pure-blood or Half-blood,Male,,,Non-corporeal,,"['Order of the Phoenix', 'Advance Guard', 'Harry Potter']","[1, 5, 7]",3,,,,,29,Dedalus Diggle,Dedalus_Diggle,http://img2.wikia.nocookie.net/__cb20110703233114/harrypotter/images/e/e4/Dedalus_Diggle.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Elphias Doge', 'Emmeline Vance', 'Harry Potter', 'Kingsley Shacklebolt', 'Lord Voldemort', 'Minerva McGonagall', 'Nymphadora Tonks', 'Petunia Dursley', 'Remus Lupin', 'Ronald Weasley', 'Rubeus Hagrid', 'Sturgis Podmore', 'Vernon Dursley']",3,15,dedalus_diggle
22,Amos Diggory,,,Human,Pure-blood or Half-blood,Male,Brown,,Non-corporeal,,"['British Ministry of Magic', 'Hogwarts School of Witchcraft and Wizardry']",[4],1,,,,,30,Amos Diggory,Amos_Diggory,http://img3.wikia.nocookie.net/__cb20140619033809/harrypotter/images/b/bc/Harry-potter-caliz-fuego-promo-40.jpg,"['Alastor Moody', 'Arthur Weasley', 'Bartemius Crouch Junior', 'Cedric Diggory', 'Harry Potter', 'Hermione Granger', 'Molly Weasley', 'Peter Pettigrew', 'Pomona Sprout', 'Winky']",2,10,amos_diggory
23,Cedric Diggory,between 1 September and 30 October 1977,"24 June, 1995 (aged 17)",Human,Pure-blood,Male,Dark,Grey,,Hufflepuff,"['Hogwarts School of Witchcraft and Wizardry', 'Hufflepuff']","[3, 4, 5, 6, 7]",5,Ash,12.25,Unicorn hair,"This wand was 'pleasantly springy'; hair from particularly fine male unicorn (seventeen hands high), which nearly gored Mr Ollivander with its horn after he plucked its tail hair.",31,Cedric Diggory,Cedric_Diggory,http://img3.wikia.nocookie.net/__cb20111015180904/harrypotter/images/c/c5/Cedric.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Alicia Spinnet', 'Amos Diggory', 'Angelina Johnson', 'Argus Filch', 'Bartemius Crouch Junior', 'Bill Weasley', 'Buckbeak', 'Cho Chang', 'Colin Creevey', 'Cornelius Fudge', 'Dean Thomas', 'Dolores Umbridge', 'Draco Malfoy', 'Ernest Macmillan', 'Fawkes', 'Filius Flitwick', 'Fleur Delacour', 'Frank Bryce', 'Garrick Ollivander', 'George Weasley', 'Gregory Goyle', 'Hannah Abbott', 'Harry Potter', 'Helga Hufflepuff', 'Hermione Granger', 'James Potter', 'Justin Finch-Fletchley', 'Katie Bell', 'Lavender Brown', 'Lee Jordan', 'Lord Voldemort', 'Ludovic Bagman', 'Marietta Edgecombe', 'Michael Corner', 'Millicent Bulstrode', 'Minerva McGonagall', 'Myrtle Warren', 'Molly Weasley', 'Oliver Wood', 'Padma Patil', 'Pansy Parkinson', 'Peter Pettigrew', 'Pomona Sprout', 'Poppy Pomfrey', 'Rita Skeeter', 'Rolanda Hooch', 'Ronald Weasley', 'Rubeus Hagrid', 'Susan Bones', 'Sybill Trelawney', 'Viktor Krum', 'Vincent Crabbe', 'Zacharias Smith']",2,55,cedric_diggory
24,Dobby,"28 June, unknown year","Late March, 1998",House-elf,,Male,,Green,,,"['Harry Potter', ""Dumbledore's Army"", 'Order of the Phoenix', 'Hogwarts School of Witchcraft and Wizardry']","[2, 3, 4, 5, 6, 7]",6,,,,,156,Dobby,Dobby,http://img2.wikia.nocookie.net/__cb20111123015636/harrypotter/images/f/f4/DobbyDH.jpg,"['Aberforth Dumbledore', 'Alastor Moody', 'Albus Dumbledore', 'Arthur Weasley', 'Bartemius Crouch Junior', 'Bartemius Crouch Senior', 'Bellatrix Lestrange', 'Bill Weasley', 'Cornelius Fudge', 'Dean Thomas', 'Dolores Umbridge', 'Draco Malfoy', 'Fenrir Greyback', 'Fleur Delacour', 'Gabrielle Delacour', 'Garrick Ollivander', 'Griphook', 'Harry Potter', 'Hedwig', 'Hermione Granger', 'Kreacher', 'Lord Voldemort', 'Lucius Malfoy', 'Luna Lovegood', 'Marietta Edgecombe', 'Minerva McGonagall', 'Molly Weasley', 'Narcissa Malfoy', 'Peeves', 'Percy Weasley', 'Peter Pettigrew', 'Petunia Dursley', 'Ronald Weasley', 'Seamus Finnigan', 'Sirius Black', 'Winky', 'Xenophilius Lovegood']",4,37,dobby
25,Elphias Doge,"Between 1 September 1880 and 31 August 1881,",,Human,Pure-blood,Male,Silver,Grey/Blue,Non-corporeal,,"['Order of the Phoenix', 'Advance Guard', 'British Ministry of Magic', 'Hogwarts School of Witchcraft and Wizardry']","[5, 7]",2,,,,,32,Elphias Doge,Elphias_Doge,http://img3.wikia.nocookie.net/__cb20110610163841/harrypotter/images/d/d7/Elpiass.jpg,"['Aberforth Dumbledore', 'Alastor Moody', 'Albus Dumbledore', 'Ariana Dumbledore', 'Dedalus Diggle', 'Emmeline Vance', 'Fleur Delacour', 'Gellert Grindelwald', 'Harry Potter', 'James Potter', 'Kendra Dumbledore', 'Kingsley Shacklebolt', 'Nymphadora Tonks', 'Percival Dumbledore', 'Remus Lupin', 'Rita Skeeter', 'Ronald Weasley', 'Rufus Scrimgeour', 'Sturgis Podmore']",4,19,elphias_doge
26,Antonin Dolohov,pre 1950,,Human,Pure-blood or Half-blood,Male,Dark,,None,,"['Death Eaters', 'Lord Voldemort']","[4, 5, 6, 7]",4,,,,,33,Antonin Dolohov,Antonin_Dolohov,http://img3.wikia.nocookie.net/__cb20100922144439/harrypotter/images/b/b9/Dolohov1998.jpg,"['Aberforth Dumbledore', 'Alastor Moody', 'Albus Dumbledore', 'Andromeda Tonks', 'Bellatrix Lestrange', 'Charity Burbage', 'Dean Thomas', 'Filius Flitwick', 'Harry Potter', 'Hermione Granger', 'Igor Karkaroff', 'Lord Voldemort', 'Lucius Malfoy', 'Molly Weasley', 'Nagini', 'Neville Longbottom', 'Nymphadora Tonks', 'Parvati Patil', 'Pius Thicknesse', 'Remus Lupin', 'Ronald Weasley', 'Severus Snape', 'Sirius Black', 'Teddy Lupin']",2,24,antonin_dolohov
27,Aberforth Dumbledore,between 1 September 1883 and 31 August 1884,,Human,Half-blood,Male,Grey,Bright blue,Goat,,"['Order of the Phoenix', 'Hogwarts School of Witchcraft and Wizardry']","[4, 5, 6, 7]",4,,,,,34,Aberforth Dumbledore,Aberforth_Dumbledore,http://img3.wikia.nocookie.net/__cb20111027081221/harrypotter/images/c/c7/AberforthInfobox.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Antonin Dolohov', 'Ariana Dumbledore', 'Augustus Rookwood', 'Bathilda Bagshot', 'Bellatrix Lestrange', 'Dean Thomas', 'Dobby', 'Elphias Doge', 'Gellert Grindelwald', 'Harry Potter', 'Hermione Granger', 'Katie Bell', 'Kendra Dumbledore', 'Lord Voldemort', 'Molly Weasley', 'Mundungus Fletcher', 'Neville Longbottom', 'Nymphadora Tonks', 'Percival Dumbledore', 'Percy Weasley', 'Remus Lupin', 'Ronald Weasley', 'Seamus Finnigan', 'Severus Snape', 'Sirius Black', 'Sybill Trelawney']",2,28,aberforth_dumbledore
28,Percival Dumbledore,Before 1864,After 1890,Human,Pure-blood or Half-blood,Male,,Blue,,,[],[7],1,,,,,38,Percival Dumbledore,Percival_Dumbledore,http://img1.wikia.nocookie.net/__cb20110406190748/harrypotter/images/c/c8/Percival_Dumbledore.png,"['Aberforth Dumbledore', 'Albus Dumbledore', 'Ariana Dumbledore', 'Bathilda Bagshot', 'Elphias Doge', 'Harry Potter', 'Kendra Dumbledore']",0,7,percival_dumbledore
29,Dudley Dursley,23 June 1980,,Human,Muggle,Male,Blond,Blue,,,[],"[1, 2, 3, 4, 5, 6, 7]",7,,,,,39,Dudley Dursley,Dudley_Dursley,http://img2.wikia.nocookie.net/__cb20111116222229/harrypotter/images/6/67/DudleyDH.png,"['Albus Dumbledore', 'Arabella Figg', 'Arthur Weasley', 'Dolores Umbridge', 'Draco Malfoy', 'Fred Weasley', 'George Weasley', 'Harry Potter', 'James Potter', 'Lily Potter', 'Marjorie Dursley', 'Molly Weasley', 'Petunia Dursley', 'Rubeus Hagrid', 'Sirius Black', 'Vernon Dursley', 'Vincent Crabbe']",0,17,dudley_dursley
30,Vernon Dursley,Pre 1954,,Human,Muggle,Male,Black,,,,[],"[1, 2, 3, 4, 5, 6, 7]",7,,,,,42,Vernon Dursley,Vernon_Dursley,http://img3.wikia.nocookie.net/__cb20110418141655/harrypotter/images/9/9b/Vernon-dh1.jpg,"['Alastor Moody', 'Albus Dumbledore', 'Arthur Weasley', 'Bartemius Crouch Senior', 'Dedalus Diggle', 'Dudley Dursley', 'Harry Potter', 'James Potter', 'Lily Potter', 'Marjorie Dursley', 'Molly Weasley', 'Nymphadora Tonks', 'Petunia Dursley', 'Ronald Weasley', 'Rubeus Hagrid']",0,15,vernon_dursley
31,Everard,,In or before 1995,Human,,Male,Black,,,,['Hogwarts School of Witchcraft and Wizardry'],"[5, 6]",2,,,,,44,Everard,Everard,http://img2.wikia.nocookie.net/__cb20100605084530/harrypotter/images/5/5a/Everard_1.jpg,"['Albus Dumbledore', 'Arthur Weasley', 'Minerva McGonagall', 'Nagini', 'Rufus Scrimgeour']",1,5,everard
32,Fang,c. 1984,,Dog,,Male,Black,,,,[],"[1, 2, 3, 4, 5, 6, 7]",7,,,,,157,Fang,Fang,http://img4.wikia.nocookie.net/__cb20130826201838/harrypotter/images/c/c3/Fang.png,"['Aragog', 'Arthur Weasley', 'Dolores Umbridge', 'Draco Malfoy', 'Grawp', 'Harry Potter', 'Mrs. Norris', 'Neville Longbottom', 'Quirinus Quirrell', 'Rubeus Hagrid']",0,10,fang
